osmId,osmName,osmNameKo,osmNameEn,building,sourceUrl,reviewStatus,matchedOfficialCode,matchedCatalogName,notes
way/280436520,대학원,,,yes,https://www.openstreetmap.org/way/280436520,unreviewed,,,
way/280437860,GS25,GS25,GS25,yes,https://www.openstreetmap.org/way/280437860,unreviewed,,,
way/334273921,,,,yes,https://www.openstreetmap.org/way/334273921,unreviewed,,,
way/334273922,,,,yes,https://www.openstreetmap.org/way/334273922,unreviewed,,,
way/348365622,Design,,,university,https://www.openstreetmap.org/way/348365622,unreviewed,,,
way/348450382,,,,roof,https://www.openstreetmap.org/way/348450382,unreviewed,,,
way/365429830,,,,yes,https://www.openstreetmap.org/way/365429830,unreviewed,,,
way/365429831,,,,yes,https://www.openstreetmap.org/way/365429831,unreviewed,,,
way/404687358,학생지원센터,,,yes,https://www.openstreetmap.org/way/404687358,estimated,A05,Student Support Center,Auto-filled from a unique normalized exact Korean or English name match.
way/413839796,,,,yes,https://www.openstreetmap.org/way/413839796,unreviewed,,,
way/421226754,대구프린트,,,yes,https://www.openstreetmap.org/way/421226754,unreviewed,,,
way/430697887,,,,yes,https://www.openstreetmap.org/way/430697887,unreviewed,,,
way/468967476,창업보육센터,,,yes,https://www.openstreetmap.org/way/468967476,estimated,G12,Business Incubation Center,Auto-filled from a unique normalized exact Korean or English name match.
way/468967516,CRC(LED-IT),,,yes,https://www.openstreetmap.org/way/468967516,estimated,G11,CRC,Auto-filled from a unique normalized exact Korean or English name match.
way/468967720,산학협동기술원,,,yes,https://www.openstreetmap.org/way/468967720,unreviewed,,,
way/468970579,,,,yes,https://www.openstreetmap.org/way/468970579,unreviewed,,,
way/468970706,,,,yes,https://www.openstreetmap.org/way/468970706,unreviewed,,,
way/468970723,,,,yes,https://www.openstreetmap.org/way/468970723,unreviewed,,,
way/468970761,,,,yes,https://www.openstreetmap.org/way/468970761,unreviewed,,,
way/468971064,식당,,,university,https://www.openstreetmap.org/way/468971064,unreviewed,,,
way/468971645,생명공학관,,,university,https://www.openstreetmap.org/way/468971645,unreviewed,,,
way/468971867,자원대제3실험동,,,university,https://www.openstreetmap.org/way/468971867,unreviewed,,,
way/468971975,,,,yes,https://www.openstreetmap.org/way/468971975,unreviewed,,,
way/468972035,,,,yes,https://www.openstreetmap.org/way/468972035,unreviewed,,,
way/469432756,온천골,,,yes,https://www.openstreetmap.org/way/469432756,unreviewed,,,
way/469432758,,,,yes,https://www.openstreetmap.org/way/469432758,unreviewed,,,
way/469432759,,,,church,https://www.openstreetmap.org/way/469432759,unreviewed,,,
way/469432760,한성고시원,,,yes,https://www.openstreetmap.org/way/469432760,unreviewed,,,
way/469432761,,,,residential,https://www.openstreetmap.org/way/469432761,unreviewed,,,
way/469432762,,,,residential,https://www.openstreetmap.org/way/469432762,unreviewed,,,
way/469432763,CU 영남대서문점,,,yes,https://www.openstreetmap.org/way/469432763,unreviewed,,,
way/469432764,,,,yes,https://www.openstreetmap.org/way/469432764,unreviewed,,,
way/469432765,,,,yes,https://www.openstreetmap.org/way/469432765,unreviewed,,,
way/469432766,,,,yes,https://www.openstreetmap.org/way/469432766,unreviewed,,,
way/469432767,,,,yes,https://www.openstreetmap.org/way/469432767,unreviewed,,,
way/469432768,,,,yes,https://www.openstreetmap.org/way/469432768,unreviewed,,,
way/469432769,,,,yes,https://www.openstreetmap.org/way/469432769,unreviewed,,,
way/469432770,,,,yes,https://www.openstreetmap.org/way/469432770,unreviewed,,,
way/469432771,,,,yes,https://www.openstreetmap.org/way/469432771,unreviewed,,,
way/469432772,,,,yes,https://www.openstreetmap.org/way/469432772,unreviewed,,,
way/469432773,,,,yes,https://www.openstreetmap.org/way/469432773,unreviewed,,,
way/469432774,,,,yes,https://www.openstreetmap.org/way/469432774,unreviewed,,,
way/469432775,,,,yes,https://www.openstreetmap.org/way/469432775,unreviewed,,,
way/469432776,,,,residential,https://www.openstreetmap.org/way/469432776,unreviewed,,,
way/469432777,,,,residential,https://www.openstreetmap.org/way/469432777,unreviewed,,,
way/469432778,GS25 영대장원점,,,yes,https://www.openstreetmap.org/way/469432778,unreviewed,,,
way/469432780,,,,yes,https://www.openstreetmap.org/way/469432780,unreviewed,,,
way/469432782,,,,residential,https://www.openstreetmap.org/way/469432782,unreviewed,,,
way/469432784,VIP빌,,,residential,https://www.openstreetmap.org/way/469432784,unreviewed,,,
way/469432785,,,,residential,https://www.openstreetmap.org/way/469432785,unreviewed,,,
way/469432786,,,,residential,https://www.openstreetmap.org/way/469432786,unreviewed,,,
way/469432787,,,,residential,https://www.openstreetmap.org/way/469432787,unreviewed,,,
way/469432788,,,,residential,https://www.openstreetmap.org/way/469432788,unreviewed,,,
way/469432789,,,,residential,https://www.openstreetmap.org/way/469432789,unreviewed,,,
way/469432790,생활관G동,,,dormitory,https://www.openstreetmap.org/way/469432790,estimated,D07,Dormitory(G),Auto-filled from a unique normalized exact Korean or English name match.
way/469432791,생활관H동,,,dormitory,https://www.openstreetmap.org/way/469432791,estimated,D08,Dormitory(H),Auto-filled from a unique normalized exact Korean or English name match.
way/469432792,학생식당,,,yes,https://www.openstreetmap.org/way/469432792,unreviewed,,,
way/469432793,생활관F동,,,dormitory,https://www.openstreetmap.org/way/469432793,estimated,D06,Dormitory(F),Auto-filled from a unique normalized exact Korean or English name match.
way/469432794,고시원,,,dormitory,https://www.openstreetmap.org/way/469432794,estimated,D10,Center for the Hig,Auto-filled from a unique normalized exact Korean or English name match.
way/469432795,생활관E동,,,dormitory,https://www.openstreetmap.org/way/469432795,estimated,D05,Dormitory(E),Auto-filled from a unique normalized exact Korean or English name match.
way/469432796,생활관C동,,,dormitory,https://www.openstreetmap.org/way/469432796,estimated,D03,Dormitory(C),Auto-filled from a unique normalized exact Korean or English name match.
way/469432797,생활관B동,,,dormitory,https://www.openstreetmap.org/way/469432797,estimated,D02,Dormitory(B),Auto-filled from a unique normalized exact Korean or English name match.
way/469432798,생활관D동,,,dormitory,https://www.openstreetmap.org/way/469432798,estimated,D04,Dormitory(D),Auto-filled from a unique normalized exact Korean or English name match.
way/469432799,생활관A동,,,dormitory,https://www.openstreetmap.org/way/469432799,estimated,D01,Dormitory(A),Auto-filled from a unique normalized exact Korean or English name match.
way/469432800,향토생활관,,,dormitory,https://www.openstreetmap.org/way/469432800,unreviewed,,,
way/469432801,경북글로벌교류센터,,,dormitory,https://www.openstreetmap.org/way/469432801,unreviewed,,,
way/469432803,,,,residential,https://www.openstreetmap.org/way/469432803,unreviewed,,,
way/469432804,,,,residential,https://www.openstreetmap.org/way/469432804,unreviewed,,,
way/469432805,,,,residential,https://www.openstreetmap.org/way/469432805,unreviewed,,,
way/469432806,,,,residential,https://www.openstreetmap.org/way/469432806,unreviewed,,,
way/469432807,,,,residential,https://www.openstreetmap.org/way/469432807,unreviewed,,,
way/469432808,,,,residential,https://www.openstreetmap.org/way/469432808,unreviewed,,,
way/469432809,,,,residential,https://www.openstreetmap.org/way/469432809,unreviewed,,,
way/471475999,GOLDEN SWEET,,,residential,https://www.openstreetmap.org/way/471475999,unreviewed,,,
way/471476011,백년식당,,,residential,https://www.openstreetmap.org/way/471476011,unreviewed,,,
way/471476012,OK할인마트,,,yes,https://www.openstreetmap.org/way/471476012,unreviewed,,,
way/471476013,,,,residential,https://www.openstreetmap.org/way/471476013,unreviewed,,,
way/471476014,성공시대,,,residential,https://www.openstreetmap.org/way/471476014,unreviewed,,,
way/471476016,솔로몬,,,residential,https://www.openstreetmap.org/way/471476016,unreviewed,,,
way/471476017,,,,residential,https://www.openstreetmap.org/way/471476017,unreviewed,,,
way/471476018,,,,residential,https://www.openstreetmap.org/way/471476018,unreviewed,,,
way/471476020,,,,residential,https://www.openstreetmap.org/way/471476020,unreviewed,,,
way/471476021,베네치아,,,residential,https://www.openstreetmap.org/way/471476021,unreviewed,,,
way/471476022,스타힐즈,,,residential,https://www.openstreetmap.org/way/471476022,unreviewed,,,
way/471476024,,,,residential,https://www.openstreetmap.org/way/471476024,unreviewed,,,
way/471476025,동해,,,residential,https://www.openstreetmap.org/way/471476025,unreviewed,,,
way/471476026,Smile House,,,residential,https://www.openstreetmap.org/way/471476026,unreviewed,,,
way/471476028,그레이스,,,residential,https://www.openstreetmap.org/way/471476028,unreviewed,,,
way/471476029,올리브,,,residential,https://www.openstreetmap.org/way/471476029,unreviewed,,,
way/471476030,POLO,,,residential,https://www.openstreetmap.org/way/471476030,unreviewed,,,
way/471476032,모닝하우스A,,,residential,https://www.openstreetmap.org/way/471476032,unreviewed,,,
way/471476033,알마니,,,residential,https://www.openstreetmap.org/way/471476033,unreviewed,,,
way/471476034,STARBUCKS,,,residential,https://www.openstreetmap.org/way/471476034,unreviewed,,,
way/471476036,,,,residential,https://www.openstreetmap.org/way/471476036,unreviewed,,,
way/471476037,세인트폴,,,residential,https://www.openstreetmap.org/way/471476037,unreviewed,,,
way/471476038,카라,,,residential,https://www.openstreetmap.org/way/471476038,unreviewed,,,
way/471476039,해와 달...,,,residential,https://www.openstreetmap.org/way/471476039,unreviewed,,,
way/471476041,아트하우스,,,residential,https://www.openstreetmap.org/way/471476041,unreviewed,,,
way/471476042,가온빌,,,residential,https://www.openstreetmap.org/way/471476042,unreviewed,,,
way/471476043,,,,residential,https://www.openstreetmap.org/way/471476043,unreviewed,,,
way/471476044,,,,residential,https://www.openstreetmap.org/way/471476044,unreviewed,,,
way/471476046,,,,residential,https://www.openstreetmap.org/way/471476046,unreviewed,,,
way/471476047,,,,residential,https://www.openstreetmap.org/way/471476047,unreviewed,,,
way/471476048,,,,residential,https://www.openstreetmap.org/way/471476048,unreviewed,,,
way/471476049,,,,residential,https://www.openstreetmap.org/way/471476049,unreviewed,,,
way/471476051,,,,residential,https://www.openstreetmap.org/way/471476051,unreviewed,,,
way/471476052,,,,residential,https://www.openstreetmap.org/way/471476052,unreviewed,,,
way/471476053,,,,residential,https://www.openstreetmap.org/way/471476053,unreviewed,,,
way/471476055,,,,residential,https://www.openstreetmap.org/way/471476055,unreviewed,,,
way/471476056,,,,residential,https://www.openstreetmap.org/way/471476056,unreviewed,,,
way/471476057,,,,residential,https://www.openstreetmap.org/way/471476057,unreviewed,,,
way/471476059,,,,residential,https://www.openstreetmap.org/way/471476059,unreviewed,,,
way/471476060,,,,residential,https://www.openstreetmap.org/way/471476060,unreviewed,,,
way/471488769,다올,,,residential,https://www.openstreetmap.org/way/471488769,unreviewed,,,
way/471488770,Dream Castle,,,residential,https://www.openstreetmap.org/way/471488770,unreviewed,,,
way/471488771,뷰티,,,residential,https://www.openstreetmap.org/way/471488771,unreviewed,,,
way/471488772,경산소방서,,,yes,https://www.openstreetmap.org/way/471488772,unreviewed,,,
way/471488786,,,,residential,https://www.openstreetmap.org/way/471488786,unreviewed,,,
way/471488787,,,,residential,https://www.openstreetmap.org/way/471488787,unreviewed,,,
